"","loop","reduce","func","mem"
"1",50022.4950495049,171883.346534653,53960.0495049505,76642.6237623762
"2",6768.72277227723,40414.3465346535,18482.5940594059,14988.1782178218
"3",10172.801980198,43883.3366336634,24714.9405940594,12151.4455445545
"4",14474.3861386139,41777.6435643564,36473.9900990099,18699.9504950495
"5",5941.65346534654,56136.3465346535,34481.1683168317,12490.1881188119
"6",9969.54455445545,44936.2178217822,41834.1089108911,12351.8712871287
"7",5986.84158415842,57431.8811881188,51097.9801980198,20991.9108910891
"8",6430,49920.9108910891,68617.900990099,14274.0495049505
"9",6077.17821782178,44459.1386138614,56788.2673267327,13825.3069306931
"10",7189.30693069307,66585.6336633663,93510.6138613861,12450.6435643564
"11",6681.16831683168,48667.603960396,88014.8811881188,12346.2079207921
"12",6796.9603960396,49133.4059405941,93281.9603960396,11843.8118811881
"13",7211.88118811881,66173.5841584158,95698.0792079208,12145.8415841584
"14",6943.73267326733,54312.8613861386,86276.1782178218,12120.4059405941
"15",6486.48514851485,51761.2673267327,129498.95049505,15713.5841584158
"16",6619.10891089109,55532.2475247525,101707.415841584,17057.1386138614
"17",6878.80198019802,71000.198019802,129575.059405941,12329.2772277228
"18",6328.35643564356,58693.5445544554,108569.227722772,12461.9306930693
"19",8123.56435643564,52794.3366336634,148816.98019802,12097.8316831683
"20",8530.06930693069,64502.5445544554,129264.603960396,14643.8217821782
"21",6266.31683168317,56105.2871287129,129007.801980198,11719.6138613861
"22",7324.82178217822,52980.5841584158,156025.861386139,14830.099009901
"23",6720.72277227723,62650.9108910891,138957.554455446,29298.8118811881
"24",7386.85148514852,67858.6237623762,169752.366336634,30871.0495049505
"25",10330.8712871287,65798.1485148515,151789.069306931,12049.8316831683
"26",8939.31683168317,57290.7326732673,175442.712871287,12476.0594059406
"27",6480.84158415842,71688.8613861386,193750.148514851,12464.7326732673
"28",6480.81188118812,59495.1782178218,169280.900990099,12495.801980198
"29",7894.9504950495,60858.5346534653,213912.069306931,17774.1089108911
"30",6497.73267326733,76066.8316831683,185462.98019802,12673.6534653465
"31",11299.0297029703,64008.5940594059,228124.00990099,18722.5445544554
"32",7155.46534653465,63384.7326732673,231646.643564356,12950.2475247525
"33",8535.70297029703,79284.6336633663,233419.217821782,15360.7425742574
"34",8815.11881188119,88627.4653465346,218419.841584158,15160.3366336634
"35",7189.23762376238,63119.4752475248,253730.772277228,12258.6930693069
"36",7121.54455445545,66080.3564356436,217860.940594059,12456.297029703
"37",6971.9702970297,83730.1881188119,225659.861386139,12162.7722772277
